ain't	are not
aren't	are not
can't've	cannot have
can't	cannot
'cause	because
couldn't've	could not have
could've    	could have
couldn't 	could not
didn't	did not
doesn't	does not
don't	do not
dunno	do not know
'em	them
everyone's	everyone is
everybody's	everybody is
g'day	good day
gimme	give me
giv'n	given
gonna	going to
gotta	got to
hadn't've	had not have
hadn't	had not
hasn't	has not
haven't	have not
had've	had have
he'd	he would
he'd've	he would have
he'll	he will
he'll've	he will have
he've	he have
he's	he is
here's	here is
how'd'y	how do you
howdy	how do you do
how'd	how did
how'll	how will
how's	how is
I'd	I would
I'd've	I would have
I'll	I will
I'll've	I will have
I'm	I am
I've	I have
innit	is it not
isn't	is not
it'd	it would
it'd've	it would have
it'll	it will
it'll've	it will have
it's	it is
kinda	kind of
let's	let us
ma'am	madam
mayn't	may not
mightn't've	might not have
might've	might have
mightn't	might not
mustn't've	must not have
must've	must have
mustn't	must not
needn't've	need not have
needn't	need not
ne'er	never
o'clock	of the clock
o'er	over
ol'	old
oughtn't've	ought not have
oughtn't	ought not
shan't've	shall not have
shan't	shall not
sha'n't	shall not
she'd've	she would have
she'd	she would
she'll've	she will have
she'll	she will
she's	she is
shouldn't've	should not have
should've	should have
shouldn't	should not
someone's	someone is
somebody's	somebody is
something's	something is
so've	so have
so's	so is
that'll	that will
that're	that are
that've	that have
that'd've	that would have
that'd	that would
that's	that is
there'd've	there would have
there'd	there would
there's	there is
there'll	there will
there're	there are
these'll	these will
these're	these are
these've	these have
they'd've	they would have
they'd	they would
they'll've	they will have
they'll	they will
they're	they are
they've	they have
this's	this is
this'll	this will
those're	those are
those'll	those will
those've	those have
'tis	it is
'twas	it was
to've	to have
wanna	want to
wasn't	was not
we'd	we would
we'd've	we would have
we'll	we will
we'll've	we will have
we're	we are
we've	we have
weren't	were not
what'd	what did
what'll	what will
what'll've	what will have
what're	what are
what's	what is
what've	what have
when's	when is
when've	when have
where'd	where did
where's	where is
where've	where have
which'd	which would
which'll	which will
which're	which are
which's	which is
which've	which have
who'd	who did
who'll	who will
who'll've	who will have
who's	who is
who're	who are
who've	who have
why'd	why did
why's	why is
why're	why are
why've	why have
will've	will have
won't've	will not have
won't	will not
wouldn't've	would not have
would've	would have
wouldn't	would not
y'all'd've	you all would have
y'all'd	you all would
y'all're	you all are
y'all've	you all have
y'all	you all
y'at	you at
you'd've	you would have
you'd	you would
you'll've	you will have
you'll	you will
you're	you are
you've	you have
